"","child","parent","length"
"272","DOID:2856","DOID:7",4
"273","DOID:2855","DOID:7",4
"274","DOID:12857","DOID:7",8
"275","DOID:12858","DOID:7",5
"276","DOID:12859","DOID:7",6
"277","DOID:11390","DOID:7",6
"278","DOID:11396","DOID:7",6
"279","DOID:11394","DOID:7",6
"280","DOID:13722","DOID:0050117",5
"281","DOID:13725","DOID:0014667",5
"282","DOID:13724","DOID:0014667",5
"283","DOID:8702","DOID:14566",6
"284","DOID:8704","DOID:0050117",4
"285","DOID:11512","DOID:7",5
"286","DOID:7224","DOID:14566",7
"287","DOID:7222","DOID:14566",9
"288","DOID:7223","DOID:14566",7
"289","DOID:7221","DOID:14566",9
"290","DOID:13891","DOID:7",7
"291","DOID:8568","DOID:0050117",3
"292","DOID:2272","DOID:0050117",6
"293","DOID:2273","DOID:7",4
"294","DOID:8566","DOID:0050117",3
"295","DOID:8567","DOID:14566",7
"296","DOID:2277","DOID:7",3
"297","DOID:2275","DOID:7",4
"298","DOID:0060398","DOID:630",4
"299","DOID:0060399","DOID:630",4
"300","DOID:0060390","DOID:630",4
"301","DOID:0060391","DOID:630",4
"302","DOID:0060392","DOID:630",4
"303","DOID:0060393","DOID:630",4
"304","DOID:0060394","DOID:630",4
"305","DOID:0060395","DOID:630",4
"306","DOID:0060396","DOID:630",4
"307","DOID:0060397","DOID:630",4
"308","DOID:9496","DOID:7",7
"309","DOID:7731","DOID:14566",7
"310","DOID:7732","DOID:14566",8
"311","DOID:7733","DOID:14566",11
"312","DOID:7735","DOID:14566",6
"313","DOID:7736","DOID:7",8
"314","DOID:6179","DOID:14566",10
"315","DOID:6171","DOID:14566",9
"316","DOID:6170","DOID:14566",9
"317","DOID:6175","DOID:14566",7
"318","DOID:1776","DOID:7",7
"319","DOID:1777","DOID:7",7
"320","DOID:1770","DOID:7",6
"321","DOID:0050797","DOID:0014667",4
"322","DOID:3982","DOID:7",9
"323","DOID:0050795","DOID:7",7
"324","DOID:0060538","DOID:7",7
"325","DOID:0060539","DOID:630",6
"326","DOID:14004","DOID:7",7
"327","DOID:0060534","DOID:14566",6
"328","DOID:0060535","DOID:225",2
"329","DOID:0060536","DOID:0014667",4
"330","DOID:0060537","DOID:0014667",4
"331","DOID:0060530","DOID:7",8
"332","DOID:0060531","DOID:7",9
"333","DOID:0060532","DOID:7",5
"334","DOID:14006","DOID:7",5
"335","DOID:0050791","DOID:7",6
